Make,Model,Type,Origin,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length
Honda,F-150,SUV,Asia,FWD,26536,63726,2.7,8,225,15,25,5756,95.2,223.9
BMW,F-150,Truck,USA,RWD,43541,19704,1.9,4,494,21,24,3728,111.3,199.6
Chevrolet,A4,Truck,Asia,FWD,28547,74576,5.4,8,404,21,36,5319,115,172.8
BMW,Corolla,Truck,USA,4WD,66027,21848,2.1,6,468,30,39,5785,105.6,169.8
BMW,Civic,SUV,USA,FWD,49531,35592,4.5,,393,17,31,2755,106.1,200.4
Ford,F-150,Coupe,USA,RWD,23712,59743,6.2,4,163,31,18,2634,128.6,213.3
Chevrolet,A4,Coupe,Asia,4WD,53565,20924,5.9,8,424,31,30,3374,126.2,214.7
Chevrolet,A4,SUV,USA,RWD,24208,41208,2.9,4,491,10,34,3321,124.7,179.3
Chevrolet,Cruze,SUV,Europe,RWD,71251,66980,5.8,8,275,13,29,4635,109.2,174.3
BMW,Civic,SUV,Asia,AWD,79213,33614,1.5,4,215,30,39,5535,95.5,161.2
Honda,3 Series,SUV,Asia,AWD,20109,14488,1.6,4,303,20,41,5778,97.8,207.5
Chevrolet,Corolla,SUV,Asia,RWD,70796,53882,4.5,6,420,12,35,5700,105.9,165.4
Audi,3 Series,SUV,Asia,RWD,64268,39923,3.3,4,130,22,19,3322,95.6,189.5
BMW,Civic,Truck,Europe,RWD,50201,62508,3.4,6,487,34,20,5574,95.6,202.1
Ford,Civic,Truck,Asia,AWD,69615,49941,4.3,6,212,26,31,3473,127.1,225.6
Honda,Civic,Truck,Asia,AWD,31967,43165,2.5,6,464,31,15,5481,119.7,181.8
Audi,3 Series,Truck,USA,FWD,72738,15667,2.6,8,424,31,39,4277,105.8,177.5
Audi,Civic,SUV,Asia,FWD,44759,40213,3.9,8,475,19,33,2620,99.6,205.8
Ford,A4,Coupe,Europe,RWD,35172,18114,5.3,8,443,30,18,5956,112.9,203.3
Honda,3 Series,Sedan,Europe,4WD,75112,50321,4.6,8,166,21,31,4137,95.2,183.2
BMW,Civic,SUV,Europe,4WD,51935,21761,3,4,174,24,23,5609,127.8,225
Toyota,A4,Sedan,Europe,AWD,76204,45116,3.7,4,144,30,38,3864,109.5,219.1
Honda,Cruze,Coupe,Asia,AWD,72617,47768,2.4,8,359,19,16,3507,109.1,175.7
Ford,Civic,Truck,Asia,AWD,41589,62406,1.9,4,253,23,22,3424,108.7,176.7
Audi,3 Series,Coupe,Europe,RWD,45015,39426,5.4,4,254,22,29,3144,97.4,195.9
BMW,F-150,SUV,Europe,4WD,44009,31772,2.8,6,462,14,21,4532,117.3,214.2
Honda,Civic,Truck,Asia,FWD,32773,52218,2.4,,333,15,41,5261,120.7,163.1
Toyota,F-150,SUV,Europe,RWD,75910,17712,5,6,150,33,20,5407,118.7,208.5
Toyota,A4,Truck,USA,FWD,77046,15367,4.6,6,405,11,15,4568,99.8,205.4
Chevrolet,Cruze,Sedan,Europe,FWD,56125,54957,4.7,4,361,31,29,2741,115.3,176.2
Chevrolet,Corolla,Sedan,Europe,RWD,41143,55781,2.6,8,414,26,37,5002,114.9,207.7
Ford,Cruze,Sedan,USA,FWD,21154,63606,2.7,4,224,13,40,5510,125.4,225.8
Honda,Civic,Coupe,USA,4WD,36804,40200,2.6,4,498,23,21,5168,108.3,163.3
Honda,F-150,SUV,Asia,FWD,56688,65924,2.4,4,344,19,43,4850,108,182.4
Audi,F-150,Coupe,Asia,4WD,79288,17726,4.8,6,129,12,44,4119,116.6,190.7
Audi,3 Series,Sedan,USA,4WD,66195,37616,5.7,6,221,34,39,3302,117.2,222.9
Audi,F-150,SUV,USA,4WD,35581,41723,5.1,6,224,12,31,3463,111.4,227.4
Chevrolet,3 Series,Sedan,Asia,AWD,67648,51574,5.5,8,136,24,16,2568,110.5,191.1
Honda,A4,Coupe,Europe,FWD,45087,48958,3.5,4,269,15,41,3652,112.3,212.5
Honda,Corolla,Coupe,USA,RWD,64930,23108,4.8,8,223,26,23,2695,125.1,197.2
Toyota,Civic,Coupe,Asia,RWD,47981,26178,3.3,6,456,21,43,4687,111.1,197.6
